id	locationID	countryCode	threatStatus
723	ISO_3166-2:IS	IS	Least Concern
84	ISO_3166-2:IS	IS	Least Concern
194	ISO_3166-2:IS	IS	Least Concern
358	ISO_3166-2:IS	IS	Least Concern
87	ISO_3166-2:IS	IS	Least Concern
88	ISO_3166-2:IS	IS	Least Concern
1126	ISO_3166-2:IS	IS	Least Concern
1127	ISO_3166-2:IS	IS	Least Concern
277	ISO_3166-2:IS	IS	Least Concern
276	ISO_3166-2:IS	IS	Least Concern
704	ISO_3166-2:IS	IS	Least Concern
631	ISO_3166-2:IS	IS	Least Concern
632	ISO_3166-2:IS	IS	Least Concern
688	ISO_3166-2:IS	IS	Least Concern
689	ISO_3166-2:IS	IS	Least Concern
693	ISO_3166-2:IS	IS	Least Concern
699	ISO_3166-2:IS	IS	Least Concern
422	ISO_3166-2:IS	IS	Least Concern
423	ISO_3166-2:IS	IS	Least Concern
424	ISO_3166-2:IS	IS	Least Concern
425	ISO_3166-2:IS	IS	Least Concern
426	ISO_3166-2:IS	IS	Least Concern
593	ISO_3166-2:IS	IS	Least Concern
36	ISO_3166-2:IS	IS	Least Concern
37	ISO_3166-2:IS	IS	Least Concern
98	ISO_3166-2:IS	IS	Least Concern
89	ISO_3166-2:IS	IS	Least Concern
26	ISO_3166-2:IS	IS	Near Threatened
152	ISO_3166-2:IS	IS	Near Threatened
169	ISO_3166-2:IS	IS	Near Threatened
760	ISO_3166-2:IS	IS	Near Threatened
776	ISO_3166-2:IS	IS	Near Threatened
238	ISO_3166-2:IS	IS	Near Threatened
1137	ISO_3166-2:IS	IS	Near Threatened
8	ISO_3166-2:IS	IS	Near Threatened
107	ISO_3166-2:IS	IS	Near Threatened
101	ISO_3166-2:IS	IS	Near Threatened
46	ISO_3166-2:IS	IS	Not Applicable
47	ISO_3166-2:IS	IS	Not Applicable
48	ISO_3166-2:IS	IS	Not Applicable
49	ISO_3166-2:IS	IS	Not Applicable
50	ISO_3166-2:IS	IS	Not Applicable
745	ISO_3166-2:IS	IS	Not Applicable
287	ISO_3166-2:IS	IS	Not Applicable
288	ISO_3166-2:IS	IS	Not Applicable
524	ISO_3166-2:IS	IS	Not Applicable
1138	ISO_3166-2:IS	IS	Not Applicable
1139	ISO_3166-2:IS	IS	Not Applicable
552	ISO_3166-2:IS	IS	Not Applicable
196	ISO_3166-2:IS	IS	Not Applicable
369	ISO_3166-2:IS	IS	Not Applicable
371	ISO_3166-2:IS	IS	Not Applicable
372	ISO_3166-2:IS	IS	Not Applicable
467	ISO_3166-2:IS	IS	Not Applicable
111	ISO_3166-2:IS	IS	Not Applicable
112	ISO_3166-2:IS	IS	Not Applicable
413	ISO_3166-2:IS	IS	Not Applicable
412	ISO_3166-2:IS	IS	Not Applicable
201	ISO_3166-2:IS	IS	Not Applicable
202	ISO_3166-2:IS	IS	Not Applicable
746	ISO_3166-2:IS	IS	Not Applicable
611	ISO_3166-2:IS	IS	Not Applicable
289	ISO_3166-2:IS	IS	Not Applicable
203	ISO_3166-2:IS	IS	Not Applicable
748	ISO_3166-2:IS	IS	Not Applicable
749	ISO_3166-2:IS	IS	Not Applicable
204	ISO_3166-2:IS	IS	Not Applicable
1142	ISO_3166-2:IS	IS	Not Applicable
206	ISO_3166-2:IS	IS	Not Applicable
469	ISO_3166-2:IS	IS	Not Applicable
471	ISO_3166-2:IS	IS	Not Applicable
751	ISO_3166-2:IS	IS	Not Applicable
750	ISO_3166-2:IS	IS	Not Applicable
652	ISO_3166-2:IS	IS	Not Applicable
634	ISO_3166-2:IS	IS	Not Applicable
339	ISO_3166-2:IS	IS	Not Applicable
595	ISO_3166-2:IS	IS	Not Applicable
597	ISO_3166-2:IS	IS	Not Applicable
598	ISO_3166-2:IS	IS	Not Applicable
208	ISO_3166-2:IS	IS	Not Applicable
209	ISO_3166-2:IS	IS	Not Applicable
211	ISO_3166-2:IS	IS	Not Applicable
472	ISO_3166-2:IS	IS	Not Applicable
473	ISO_3166-2:IS	IS	Not Applicable
752	ISO_3166-2:IS	IS	Not Applicable
474	ISO_3166-2:IS	IS	Not Applicable
653	ISO_3166-2:IS	IS	Not Applicable
475	ISO_3166-2:IS	IS	Not Applicable
476	ISO_3166-2:IS	IS	Not Applicable
